Character name,Allegiance,Culture,Birthyear,Deathyear,Gender,DeadAlive,POV,categories
Aemon_Rivers,##House Frey#,,NULL,NULL,M,,N/A,Characters from the Riverlands#Nobles#Knights#House Frey#
Aemon_Targaryen,,,NULL,NULL,M,D,Bran Stark,House Targaryen#Disambiguation pages#
Maester_Aemon,##Night's Watch#,,198,300,,,,House Targaryen#Characters from the Crownlands#Maesters#Members of the Night's Watch#Nobles#
Aemond_Targaryen,##House Targaryen#The greens#,##Valyrian#,110,130,M,D,N/A,House Targaryen#Characters from the Crownlands#Dragonriders#Kinslayers#Nobles#Regents#
Aenys_Frey,##House Frey#,,247,300,M,D,Arya Stark,Characters from the Riverlands#Nobles#House Frey#
Aenys_I_Targaryen,,,NULL,NULL,,,,House Targaryen#Characters from the Crownlands#Nobles#Monarchs#
Aerion_Targaryen,##House Targaryen#Second Sons#,##Valyrian#,194,232,M,D,Jon Snow,House Targaryen#Characters from the Crownlands#Nobles#Second Sons#Mercenaries#Exiles#
Aeron_Greyjoy,##House Greyjoy#Drowned men#,##Ironmen#,273,NULL,M,U,N/A,House Greyjoy#Characters from the Iron Islands#Drowned men#Nobles#POV characters#Clergy#
Aerys_I_Targaryen,,,NULL,NULL,M,D,N/A,House Targaryen#Characters from the Crownlands#Monarchs#Nobles#
Aerys_II_Targaryen,,,NULL,NULL,,,,House Targaryen#Characters from the Crownlands#Knights#Monarchs#Nobles#
Aethan,##Night's Watch#,,NULL,NULL,M,,Chett,Rangers of the Night's Watch#Members of the Night's Watch#
Aethelmure,,,NULL,NULL,M,D,Tyrion Lannister,Grand Maesters#
Aggar,##House Greyjoy#,,NULL,299,M,D,Theon Greyjoy,Characters from the Iron Islands#
Aggo,##House Targaryen#,##Dothraki#,NULL,NULL,,,,Characters from the Dothraki sea#Members of Drogo's khalasar#Courtiers and followers of Daenerys Targaryen#
Aglantine,##Faith of the Seven#,,NULL,NULL,F,,Cersei Lannister,Members of the Faith#Clergy#Most Devout#Characters from Westeros#
Agrivane,,,NULL,NULL,,,,Archmaesters#Characters from Westeros#
Aladale_Wynch,##House Wynch#Night's Watch#,,NULL,300,M,D,N/A,Rangers of the Night's Watch#Members of the Night's Watch#Characters from the Iron Islands#Nobles#House Wynch#
Alan,##Night's Watch#,,NULL,300,M,,Samwell Tarly,Rangers of the Night's Watch#Members of the Night's Watch#Characters from the Crownlands#Deserters of the Night's Watch#
Alannys_Harlaw,##House Greyjoy#House Harlaw#,##Ironborn#,NULL,NULL,,,,House Harlaw#House Greyjoy#Noblewomen#Royal Consorts#Characters from the Iron Islands#
Alaric_of_Eysen,,,NULL,NULL,,,,Singers#
Alayaya,,,283,NULL,F,A,Tyrion Lannister,Smallfolk#Prostitutes#Characters from the Summer Islands#
Albar_Royce,##House Royce of the Gates of the Moon#,,NULL,NULL,M,A,Tyrion Lannister,House Royce of the Gates of the Moon#Nobles#Characters from the Vale#
Albett,##Night's Watch#,,NULL,NULL,M,A,Jon Snow,Builders of the Night's Watch#Members of the Night's Watch#Characters from the North#
Alebelly,##House Stark#,##Northmen#,NULL,299,M,D,Bran Stark,Characters from the North#House Stark retainers#Smallfolk#
Alequo_Adarys,##Band of Nine#,##Tyroshi#,NULL,NULL,,,,Characters from Tyrosh#Band of Nine#Merchants#
Alerie_Hightower,##House Hightower#House Tyrell#,,263,NULL,,,,Noblewomen#Characters from the Reach#House Hightower#
Alesander_Frey,##House Frey#,,281,NULL,M,,N/A,Nobles#Characters from the Riverlands#Singers#House Frey#
Alesander_Staedmon,##House Staedmon#,,NULL,NULL,M,,N/A,Nobles#Characters from the Stormlands#House Staedmon#
Alesander_Torrent,##House Torrent#,,NULL,NULL,,,,House Torrent#Nobles#Characters from the Vale#
Alester_Florent,##House Florent#,,NULL,300,M,D,Tyrion Lannister,House Florent#Characters from the Reach#Hands of the King#Members of the queen's men#Nobles#
Alfyn,,##Free Folk#,NULL,299,M,D,Jon Snow,Wildlings#Characters from Beyond the Wall#
Alia,,,NULL,NULL,F,A,Catelyn Tully,Characters from Braavos#Singers#
Alicent_Hightower,##House Hightower#House Targaryen#The greens#,,NULL,133,,,,House Hightower#House Targaryen#Noblewomen#Royal Consorts#Characters from the Reach#
Alla_Tyrell,##House Tyrell#,,286,NULL,F,,Sansa Stark,Characters from the Reach#Noblewomen#House Tyrell#
Allaquo,,##Braavosi#,NULL,NULL,M,,Arya Stark,Characters from Braavos#Mummers#
Allar_Deem,##City Watch of King's Landing#,,NULL,299,M,D,Tyrion Lannister,Smallfolk#Characters from the Crownlands#Recruits of the Night's Watch#Members of the City Watch (King's Landing)#
Allard_Seaworth,##House Seaworth#,,NULL,299,M,D,Davos Seaworth,House Seaworth#Characters from the Stormlands#Nobles#Sailors#
Alliser_Thorne,##House Thorne#Night's Watch#,,248,NULL,M,U,Jon Snow,House Thorne#Characters from the Crownlands#Knights#Masters-at-arms#Members of the Night's Watch#Nobles#
Allyria_Dayne,##House Dayne#,,NULL,NULL,F,,Arya Stark,House Dayne#Characters from Dorne#Noblewomen#
Alvyn_Sharp,##House Sharp#,##Ironborn#,NULL,NULL,M,,Victarion Greyjoy,House Sharp#Nobles#Characters from the Iron Islands#
Alyce,,,NULL,NULL,F,,Arya Stark,Smallfolk#Characters from the Riverlands#
Alyce_Graceford,##House Graceford#,,NULL,NULL,F,,Sansa Stark,House Graceford#Noblewomen#Characters from the Reach#
Alyn,##House Stark#,,NULL,298,M,D,N/A,Members of the Brotherhood Without Banners#House Stark retainers#Captains of the guards#Characters from the North#Smallfolk#Outlaws#
Alyn_Ambrose,##House Ambrose#,,NULL,NULL,M,,Sansa Stark,House Ambrose#Characters from the Reach#Nobles#Squires#
Alyn_Cockshaw,##House Cockshaw#,,NULL,NULL,,,,Nobles#Characters from the Reach#
Alyn_Connington,##House Connington#Kingsguard#,,NULL,NULL,M,,Jaime Lannister,Nobles#Characters from the Stormlands#Members of the Kingsguard#Lords Commander of the Kingsguard#House Connington#
Alyn_Estermont,##House Estermont#,,NULL,NULL,M,,N/A,Nobles#Characters from the Stormlands#House Estermont#Knights#
Alyn_Frey,##House Frey#,,296,NULL,M,,N/A,Nobles#Characters from the Riverlands#House Frey#
Alyn_Haigh,##House Haigh#,,291,NULL,M,,N/A,House Haigh#Nobles#Characters from the Riverlands#Squires#
Alyn_Hunt,##House Hunt#,,NULL,NULL,M,,Brienne of Tarth,House Hunt#Nobles#Characters from the Reach#
Alyn_Stackspear,##House Stackspear#,,NULL,NULL,M,A,Arya Stark,Nobles#Characters from the Westerlands#House Stackspear#
Alyn_Velaryon,##House Velaryon#House Targaryen#The blacks#,,115,176,M,,Jaime Lannister,House Velaryon#Bastards#Characters from the Crownlands#Dragonseeds#Masters of ships#Legitimized bastards#Nobles#
Alys_Arryn,##House Arryn###House Waynwood#,,249,NULL,,,,Noblewomen#Characters from the Vale#House Arryn#
Alys_Karstark,##House Karstark#House Thenn#,##Northmen#,285,NULL,F,,Jaime Lannister,House Karstark#House Thenn#Noblewomen#Characters from the North#
Alysane_Mormont,##House Mormont#,##Northmen#,278,NULL,F,,Jon Snow,Noblewomen#Characters from the North#House Mormont#Warrior Women#
Alysanne_Bracken,##House Bracken#,,NULL,NULL,F,,N/A,House Bracken#Noblewomen#Characters from the Riverlands#
Alysanne_Bulwer,##House Bulwer#,,291,NULL,F,,Sansa Stark,House Bulwer#Noblewomen#Characters from the Reach#
Alysanne_Hightower,##House Hightower#House Ambrose#,,NULL,NULL,,,,Noblewomen#Characters from the Reach#House Hightower#House Ambrose#
Alysanne_Lefford,##House Lefford#,,NULL,NULL,F,,N/A,Noblewomen#Characters from the Westerlands#House Lefford#
Alysanne_of_Tarth,##House Tarth#,,NULL,NULL,,,,Noblewomen#Characters from the Stormlands#House Tarth#
Alysanne_Osgrey,##House Osgrey#,,189,209,,,,House Osgrey#Noblewomen#Characters from the Reach#
Alysanne_Targaryen,,,NULL,NULL,,,,House Targaryen#Characters from the Crownlands#Dragonriders#Royal Consorts#Noblewomen#
Alys_Frey,##House Frey#,,NULL,NULL,F,,N/A,House Frey#Noblewomen#Characters from the Riverlands#
Alyssa_Arryn,##House Arryn#,,NULL,NULL,F,D,Catelyn Tully,Legendary Heroes#Noblewomen#Characters from the Vale#House Arryn#
Alyssa_Blackwood,##House Blackwood#House Frey#,,253,278,,,,House Blackwood#House Frey#Noblewomen#Characters from the Riverlands#
Alyx_Frey,##House Frey#,,282,NULL,F,,N/A,Noblewomen#Characters from the Riverlands#House Frey#
Amabel,##House Whent#,,NULL,NULL,F,U,Arya Stark,Smallfolk#Characters from the Riverlands#
Amarei_Crakehall,##House Crakehall#House Frey#,,245,264,,,,Noblewomen#Characters from the Westerlands#House Frey#House Crakehall#
Ambrode,,,NULL,NULL,,,,Smallfolk#Characters from the Iron Islands#
Ambrose_Butterwell,##House Butterwell#,,161,NULL,M,,Davos Seaworth,House Butterwell#Characters from the Riverlands#Hands of the King#Masters of coin#Nobles#
Amerei_Frey,##House Frey#House Lannister of Darry#,,282,NULL,F,,N/A,House Frey#House Lannister of Darry#Noblewomen#Characters from the Riverlands#
Amory_Lorch,##House Lorch#House Lannister#,,NULL,299,M,D,Tyrion Lannister,House Lorch#Castellans#Characters from the Westerlands#Knights#Nobles#House Lannister retainers#
Andar_Royce,##House Royce#,,NULL,NULL,M,A,Sansa Stark,Nobles#Characters from the Vale#House Royce#
Anders_Yronwood,##House Yronwood#,,NULL,NULL,M,,Tyrion Lannister,House Yronwood#Nobles#Characters from Dorne#Wardens#
Andrew_Estermont,##House Estermont#King's men#,,NULL,NULL,M,,N/A,House Estermont#Characters from the Stormlands#Knights#Members of the king's men#Nobles#
Andrey_Charlton,##House Charlton#,,NULL,299,M,D,Arya Stark,Nobles#Characters from the Riverlands#House Charlton#Knights#
Andrey_Dalt,##House Dalt#,##Dornish#,NULL,NULL,M,,Arianne Martell,House Dalt#Nobles#Characters from Dorne#Knights#
Andrik,##House Drumm#,##Ironborn#,NULL,NULL,M,A,Theon Greyjoy,Nobles#Lowborn nobles#Characters from the Iron Islands#House Drumm#Crew and followers of Euron Greyjoy#
Andros_Brax,##House Brax#,,NULL,298,M,D,Tyrion Lannister,House Brax#Nobles#Characters from the Westerlands#
Androw_Ashford,##House Ashford#,,NULL,NULL,M,D,N/A,House Ashford#Nobles#Characters from the Reach#Knights#
Androw_Frey,##House Frey#,,296,NULL,M,,N/A,House Frey#Nobles#Characters from the Riverlands#
Anguy,##Brotherhood without banners#,,NULL,NULL,M,U,Eddard Stark,Smallfolk#Outlaws#Members of the Brotherhood Without Banners#Characters from the Stormlands#
Annara_Farring,##House Farring#House Frey#,,NULL,NULL,,,,Noblewomen#Characters from the Crownlands#House Frey#House Farring#
Antario_Jast,##House Jast#,,NULL,NULL,M,A,Sansa Stark,Nobles#Characters from the Westerlands#House Jast#
Anvil_Ryn,,,NULL,NULL,,,,Smallfolk#Characters from the Riverlands#
Anya_Waynwood,##House Waynwood#Lords Declarant#,,NULL,NULL,F,A,Tyrion Lannister,Noblewomen#Characters from the Vale#House Waynwood#
Archibald_Yronwood,##House Yronwood#Windblown#,,NULL,NULL,M,,Quentyn Martell,House Yronwood#Nobles#Characters from Dorne#Mercenaries#Windblown#
Ardrian_Celtigar,##House Celtigar#,,229,NULL,M,A,Maester Cressen,House Celtigar#Characters from the Crownlands#Nobles#
Areo_Hotah,##House Martell#,##Norvos#,257,NULL,M,A,N/A,Characters from Norvos#House Martell retainers#Slaves and freedmen#POV characters#Captains of the guards#
Argilac,,,NULL,NULL,,,,House Durrandon#Characters from the Stormlands#Monarchs#Nobles#
Argrave_the_Defiant,##House Butterwell#,,NULL,NULL,,,,Knights#Characters from the Reach#
Arianne_Martell,##House Martell#,##Dornishmen#,276,NULL,F,A,N/A,House Martell#Characters from Dorne#POV characters#Noblewomen#
Arianne_of_Tarth,##House Tarth#,,NULL,NULL,,,,Noblewomen#Characters from the Stormlands#House Tarth#
Arlan_of_Pennytree,,,153,209,,,,Smallfolk#Knights#Characters from the Riverlands#
Armen,,,NULL,NULL,M,,Pate,Smallfolk#Characters from the Reach#
Armond_Caswell,##House Caswell#,,NULL,NULL,,,,Nobles#Characters from the Reach#House Caswell#
Arneld,,,NULL,NULL,M,,Tyrion Lannister,Characters from the Crownlands#Knights#
Arnell,##Night's Watch#,,NULL,NULL,M,U,Jon Snow,Knights#Members of the Night's Watch#House Fossoway of New Barrel#
Arnolf_Karstark,##House Karstark#,##Northmen#,NULL,NULL,M,,Jon Snow,Nobles#Castellans#Characters from the North#House Karstark#
Aron_Santagar,##House Santagar#,##Dornish#,NULL,299,M,D,Catelyn Tully,Characters from Dorne#Nobles#House Santagar#Masters-at-arms#
Arrec,,,NULL,NULL,,,,House Durrandon#Characters from the Stormlands#Monarchs#Nobles#
Arron,##Night's Watch#,,NULL,NULL,M,,Jon Snow,Characters from the Westerlands#Members of the Night's Watch#
Arron_Qorgyle,##House Qorgyle#,,NULL,NULL,M,,Tyrion Lannister,House Qorgyle#Nobles#Characters from Dorne#
Artys_Arryn,,##Andal#,NULL,NULL,M,D,Sansa Stark,House Arryn#Characters from the Vale#Knights#Monarchs#Nobles#
Arryk,,,NULL,NULL,M,,Sansa Stark,Disambiguation pages#
Arryk_(Guard),##House Tyrell#,,NULL,NULL,,,,Characters from the Reach#House Tyrell retainers#Smallfolk#
Arson,,##Free Folk#,NULL,NULL,M,,Jon Snow,Wildlings#Legendary Heroes#Characters from Beyond the Wall#
Arthor_Karstark,##House Karstark#,##Northmen#,NULL,NULL,M,,Asha Greyjoy,Nobles#Characters from the North#House Karstark#
Arthur_Ambrose,##House Ambrose#,,NULL,NULL,M,,Sansa Stark,House Ambrose#Nobles#Characters from the Reach#
Arthur_Dayne,##House Dayne#Kingsguard#,,NULL,283,M,D,Catelyn Tully,House Dayne#Characters from Dorne#Knights#Members of the Kingsguard#Nobles#
Artos_Stark,##House Stark#,##Northmen#,NULL,NULL,M,,Bran Stark,House Stark#Characters from the North#Nobles#Statues#
Arwood_Frey,##House Frey#,,281,NULL,M,,N/A,Nobles#Characters from the Riverlands#House Frey#Knights#
Arwyn_Frey,##House Frey#,,285,NULL,F,,N/A,Noblewomen#Characters from the Riverlands#House Frey#
Arwyn_Oakheart,##House Oakheart#,,NULL,NULL,F,A,N/A,Noblewomen#Characters from the Reach#House Oakheart#
Arya_Stark,##House Stark#Faceless Men#,##Northmen#,289,NULL,F,A,Catelyn Tully,POV characters#Noblewomen#House Stark#Characters from the North#Skinchangers#Recruits of the Night's Watch#Members of the Faceless Men#Assassins#Exiles#Warrior Women#Mummers#House Lannister retainers#House Bolton retainers#
Arys_Oakheart,##House Oakheart#Kingsguard#,,NULL,300,M,D,Eddard Stark,House Oakheart#Characters from the Reach#Knights#Members of the Kingsguard#Nobles#POV characters#
Asha_Greyjoy,##House Greyjoy#House Ironmaker#(forced marriage)#,##Ironborn#,276,NULL,F,A,N/A,House Greyjoy#House Ironmaker#Characters from the Iron Islands#Noblewomen#POV characters#Sailors#Crew of the Black Wind#Warrior Women#
Ashara_Dayne,##House Dayne#,##Westeros#,NULL,283,F,D,Catelyn Tully,House Dayne#Noblewomen#Characters from Dorne#
Lord_Ashford,##House Ashford#,,NULL,NULL,,,,House Ashford#Nobles#Characters from the Reach#
Assadora_of_Ibben,,##Ibbenese#,NULL,NULL,,,,Prostitutes#Characters from Braavos#Characters from Ibben#
Aubrey_Ambrose,##House Ambrose#,,NULL,NULL,,,,House Ambrose#Nobles#Characters from the Reach#Knights#
Aurane_Waters,##House Velaryon#,##Valyrian#,278,NULL,M,,Sansa Stark,House Velaryon#Bastards#Characters from the Crownlands#Followers and collaborators of Cersei Lannister#Masters of ships#Mercenaries#Pirates#
Axell_Florent,##House Florent#Queen's men#,,NULL,NULL,M,A,Maester Cressen,House Florent#Castellans#Characters from the Reach#Hands of the King#Knights#Members of the queen's men#Nobles#
Ayrmidon,,##Valyrian#,NULL,NULL,M,D,Tyrion Lannister,Characters from Valyria#Scribes#
Azzak,##House of Ghazeen#,##Ghiscari#,NULL,NULL,?,,Barristan Selmy,Characters from Meereen#Courtiers and followers of Daenerys Targaryen#Nobles#
Azor_Ahai,,##Asshai#,NULL,NULL,M,F,Davos Seaworth,Legendary Heroes#Prophecy#R'hllor#
Bael,,##Free folk#,NULL,NULL,M,F,Jon Snow,Wildlings#Characters from Beyond the Wall#Legendary Heroes#Monarchs#
Baela_Targaryen,##House Targaryen#House Velaryon#The blacks#,##Valyrian#,116,NULL,F,D,N/A,House Targaryen#House Velaryon#Characters from the Crownlands#Dragonriders#Noblewomen#The Blacks#
Baelon_Targaryen_(son_of_Aerys),##House Targaryen#,##Valyrian#,NULL,NULL,,,,House Targaryen#Characters from the Crownlands#Nobles#
Baelon_Targaryen_(son_of_Viserys_I),##House Targaryen#,##Valyrian#,105,105,,,,House Targaryen#Nobles#Characters from the Crownlands#
Baelor_Blacktyde,##House Blacktyde#,,NULL,300,M,D,N/A,House Blacktyde#Nobles#Characters from the Iron Islands#Followers of Asha Greyjoy#
Baelor_Hightower,##House Hightower#,,NULL,NULL,M,,Tyrion Lannister,Nobles#Characters from the Reach#House Hightower#
Baelor_I_Targaryen,,,NULL,NULL,M,D,Eddard Stark,House Targaryen#Characters from the Crownlands#Nobles#Monarchs#Statues#
Baelor_Targaryen_(son_of_Daeron_II),##House Targaryen#,,170,209,,,,House Targaryen#Nobles#Characters from the Crownlands#Hands of the King#
Ballabar,,,NULL,NULL,M,,Tyrion Lannister,Maesters#Characters from the Reach#
Balman_Byrch,##House Byrch#,,NULL,300,M,D,Cersei Lannister,House Byrch#House Stokeworth#Nobles#Characters from the Crownlands#Knights#Followers and collaborators of Cersei Lannister#
Balon_Botley,##House Botley#,##Ironborn#,NULL,NULL,M,,N/A,Nobles#Characters from the Iron Islands#House Botley#
Balon_Greyjoy,,,NULL,NULL,M,D,Eddard Stark,Monarchs#Nobles#Characters from the Iron Islands#House Greyjoy#
Balon_Swann,##House Swann#Kingsguard#,,NULL,NULL,M,A,Sansa Stark,Members of the Kingsguard#Nobles#Characters from the Stormlands#House Swann#
Bandy,##House Stark#,##Northmen#,NULL,NULL,F,A,Bran Stark,Characters from the North#House Stark retainers#Smallfolk#
Bannen,##Night's Watch#,,NULL,299,M,D,Chett,Rangers of the Night's Watch#Members of the Night's Watch#Characters from the North#
Barba_Bracken,##House Bracken#,,155,NULL,F,,Jaime Lannister,House Bracken#Characters from the Riverlands#Mistresses of Aegon IV Targaryen#Noblewomen#
Barbara_Bracken,##House Bracken#,,NULL,NULL,F,,N/A,Noblewomen#Characters from the Riverlands#House Bracken#
Barbrey_Dustin,##House Ryswell#House Dustin#,##Northmen#,NULL,NULL,F,A,Theon Greyjoy,Noblewomen#Characters from the North#House Ryswell#House Dustin#
Barra,,,298,299,F,D,Eddard Stark,House Baratheon#Bastards#Characters from the Crownlands#
Barre,,,NULL,NULL,M,U,Davos Seaworth,House Baratheon retainers#Characters from the Crownlands#Members of the Faith#Clergy#
Barristan_Selmy,##House Selmy#House Targaryen#Kingsguard#Queensguard#,##Westeros#,237,NULL,M,A,Bran Stark,House Selmy#Characters from the Stormlands#Courtiers and followers of Daenerys Targaryen#Hands of the King#Knights#Lords Commander of the Kingsguard#Members of the Kingsguard#Mystery knights#Nobles#POV characters#Ruling council of Meereen#Squires#
Barsena_Blackhair,,##Ghiscari#,270,300,,,,Characters from Meereen#Pit fighters#Slaves and freedmen#
Barth,##Faith of the Seven#House Targaryen#,,NULL,NULL,M,,Davos Seaworth,Hands of the King#Members of the Faith#Scribes#Characters from the Crownlands#Clergy#
Barth_(brewer),##House Stark#,,NULL,NULL,,,,Characters from the North#House Stark retainers#Smallfolk#
Barthogan_Stark,##House Stark#,##Northmen#,NULL,NULL,,,,House Stark#Nobles#Characters from the North#
Bass,##Night's Watch#,,NULL,NULL,M,U,Jon Snow,Stewards of the Night's Watch#Characters from the North#
Bayard_Norcross,##House Norcross#,,NULL,NULL,M,,Cersei Lannister,House Norcross#Nobles#Characters from the Reach#Knights#House Tyrell retainers#
Bearded_Ben,##Night's Watch#,,NULL,NULL,,,,Rangers of the Night's Watch#Members of the Night's Watch#
Beardless_Dick,##Brotherhood Without Banners#,,NULL,NULL,,,,Smallfolk#Characters from the Riverlands#Members of the Brotherhood Without Banners#Outlaws#
Becca,##House Arryn#,,NULL,NULL,F,D,Arya Stark,Smallfolk#Characters from the Vale#
Becca_the_Baker,,,NULL,NULL,,,,Smallfolk#Characters from the Riverlands#
Beck,,,299,NULL,M,D,Arya Stark,Smallfolk#Characters from the Riverlands#
Bedwyck,##Night's Watch#,,NULL,NULL,M,A,Jon Snow,Members of the Night's Watch#Rangers of the Night's Watch#Characters from the North#
Belandra,##House Martell#,,NULL,NULL,F,,Arianne Martell,Smallfolk#Characters from Dorne#House Martell retainers#
Belaquo_Bonebreaker,##House of Loraq#,##Ghiscari#,NULL,NULL,,,,Characters from Meereen#Ruling council of Meereen#Pit fighters#Slaves and freedmen#
Beldecar,,,NULL,NULL,M,,Tyrion Lannister,Scribes#
Belgrave,##House Belgrave#,,NULL,NULL,M,,Davos Seaworth,Nobles#Characters from Westeros#House Belgrave#
Belis,##Alchemists' Guild#,,NULL,NULL,M,,Jaime Lannister,Alchemists' Guild#Characters from the Crownlands#
Bella,,,283,NULL,F,,Arya Stark,House Baratheon#Smallfolk#Prostitutes#Characters from the Riverlands#Bastards#Collaborators of the Brotherhood Without Banners#
Bellegere_Otherys,,##Braavosi#,NULL,NULL,F,,Arya Stark,Black Pearls of Braavos#Characters from Braavos#Merchants#Mistresses of Aegon IV Targaryen#Pirates#Smugglers#
Bellegere_Otherys_(Courtesan),,##Braavosi#,NULL,NULL,,,,Characters from Braavos#Prostitutes#Black Pearls of Braavos#
Bellena_Hawick,##House Hawick#House Frey#,,NULL,NULL,,,,Noblewomen#Characters from the Riverlands#House Frey#House Hawick#
Bellonara_Otherys,,##Braavosi#,NULL,NULL,F,,Arya Stark,Characters from Braavos#Valyrians#Black Pearls of Braavos#
Belwas,##House Targaryen#Queensguard#Ruling council of Meereen#,##Meereenese#,NULL,NULL,M,,Daenerys Targaryen,Characters from the Meereen#Courtiers and followers of Daenerys Targaryen#Eunuchs#Ruling council of Meereen#Slaves and freedmen#Pit fighters#
Ben,,,294,NULL,M,,Theon Greyjoy,Smallfolk#Characters from the Riverlands#
Ben_(Big_Belly),##Kingswood Brotherhood#,,NULL,NULL,,,,Characters from Westeros#Members of the Kingswood Brotherhood#Outlaws#
Ben_Blackthumb,##House Whent#House Lannister#,,NULL,NULL,,,,Smallfolk#Characters from the Riverlands#House Whent retainers#House Lannister retainers#Blacksmiths#
Ben_Bones,##House Bolton#,,NULL,NULL,,,,Smallfolk#Characters from the North#House Bolton retainers#Spies#
Ben_Bushy,##House Bushy#,,NULL,299,M,D,Brienne of Tarth,Nobles#Characters from the Reach#Knights#House Bushy#
Ben_Plumm,##Second Sons#,,NULL,NULL,M,,Daenerys Targaryen,House Plumm#Second Sons#Mercenaries#
Benedar_Belmore,##House Belmore#Lords Declarant#,,NULL,NULL,M,,Sansa Stark,House Belmore#Nobles#Characters from the Vale#
Benedict,,,NULL,NULL,M,,Pate,Archmaesters#Characters from Westeros#
Benedict_Broom,##House Broom#House Lannister#,,NULL,NULL,M,,N/A,House Broom#Nobles#House Lannister retainers#Characters from the Westerlands#Masters-at-arms#
Benfred_Tallhart,##House Tallhart#,##Northmen#,281,299,M,D,Bran Stark,House Tallhart#Nobles#Characters from the North#
Benfrey_Frey,##House Frey#,,279,299,M,,N/A,House Frey#Nobles#Characters from the Riverlands#Knights#
Benjen_Stark,##Night's Watch#,##Northmen#,267,NULL,M,,Bran Stark,House Stark#Nobles#Rangers of the Night's Watch#Members of the Night's Watch#Characters from the North#
Benjen_Stark_(Bitter),##House Stark#,,NULL,NULL,,,,Monarchs#Nobles#Characters from the North#House Stark#
Benjen_Stark_(Sweet),,##Northmen#,NULL,NULL,,,,House Stark#Monarchs#Nobles#Characters from the North#
